Nama,Pre Test,Progress Test,Final Test,Asal Kota,,
SI-0135,5,6.5,6,Jakarta,,
SI-0136,5,6,6,Jakarta,,
SI-0137,5,5.5,6,Jakarta,,
SI-0138,5,6.1,6,Jakarta,,
SI-0139,5,4.5,6,Jakarta,,
SI-0140,5,6.5,6,Jakarta,,
SI-0141,5,4.5,6,Jakarta,,
SI-0142,5,5.5,6,Jakarta,,
SI-0143,5,5,6,Jakarta,,
SI-0144,5,6,6,Jakarta,,
SI-0145,5,6,6,Jakarta,,
SI-0146,5,4.5,6,Yogyakarta,,
SI-0147,5,5.5,6,Yogyakarta,,
SI-0148,5,6.5,6,Yogyakarta,,
SI-0149,5,5.5,6,Yogyakarta,,
SI-0150,5,5.5,6,Yogyakarta,,
SI-0151,5,5.5,6,Yogyakarta,,
SI-0152,5,6,6,Yogyakarta,,
SI-0153,5,5.5,6,Yogyakarta,,
SI-0154,5,5,6,Yogyakarta,,
SI-0155,5.5,6.5,6.5,Jakarta,,
SI-0156,5.5,7,6.5,Jakarta,,
SI-0157,5.5,6,6.5,Jakarta,,
SI-0158,5.5,6.5,6.5,Jakarta,,
SI-0159,5.5,6.5,6.5,Yogyakarta,,
SI-0160,5.5,6.5,6.5,Jakarta,,
SI-0161,5.5,6,6.5,Jakarta,,
SI-0162,5.5,6,6.5,Jakarta,,
SI-0163,5.5,6.3,6.5,Jakarta,,
SI-0164,5.5,6.5,6.5,Jakarta,,
SI-0165,5.5,6,6.5,Jakarta,,
SI-0166,5.5,5.5,6.5,Jakarta,,
SI-0167,5.5,6,6.5,Jakarta,,
SI-0168,5.5,6.5,6.5,Jakarta,,
SI-0169,5.5,6,6.5,Jakarta,,
SI-0170,5.5,5.5,6.5,Yogyakarta,,
SI-0171,5.5,6.5,6.5,Yogyakarta,,
SI-0172,5.5,7,6.5,Yogyakarta,,
SI-0173,5.5,6.5,6.5,Yogyakarta,,
SI-0174,5.5,5,6.5,Yogyakarta,,
SI-0175,6,6.5,7,Yogyakarta,,
SI-0176,6,7,7,Jakarta,,
SI-0177,6,6.5,7,Jakarta,,
SI-0178,6,6,7,Jakarta,,
SI-0179,6,7,7,Jakarta,,
SI-0180,6,6.5,7,Jakarta,,
SI-0181,6,7,7,Jakarta,,
SI-0182,6,7,7,Jakarta,,
SI-0183,6,1.5,7,Yogyakarta,,
SI-0184,6.5,7,7.5,Jakarta,,
SI-0185,6.5,7,7.5,Yogyakarta,,
SI-0186,6.5,7,7.5,Yogyakarta,,
SI-0187,6.5,7,7.5,Jakarta,,
SI-0188,6.5,6.5,7.5,Jakarta,,
SI-0189,6.5,7,7.5,Yogyakarta,,
SI-0190,4.3,4,5,Jakarta,,
SI-0191,4.4,6,5,Jakarta,,
SI-0192,3.5,3,4,Jakarta,,
SI-0193,3.5,5,4,Yogyakarta,,
SI-0194,4,5,4.5,Jakarta,,
SI-0195,4,3,4.5,Jakarta,,
SI-0196,4.5,5,5,Jakarta,,
SI-0197,4.5,5.5,5,Jakarta,,
SI-0198,4.5,5,5,Jakarta,,
SI-0200,4.5,5.5,5,Jakarta,,
SI-0201,4.5,5,5,Jakarta,,
SI-0202,4.5,5.5,5,Jakarta,,
SI-0203,4.5,4.5,5,Jakarta,,
SI-0204,4.5,5,5,Jakarta,,
SI-0205,4.5,5.5,5,Jakarta,,
SI-0206,4.5,5,5,Yogyakarta,,
SI-0207,4.5,6.5,5,Yogyakarta,,
SI-0208,5,5.5,5.5,Jakarta,,
